department,county,city,base,total,year,AnnualBase,AnnualTotalPay,AnnualBonus,Headcount
BOARD OF CRIME CONTROL,LEWIS AND CLARK,HELENA,3326.2,3446.73,273902,6918496,7169198.4,250702.3999999999,136
BOARD OF PUBLIC EDUCATION,LEWIS AND CLARK,HELENA,570.45,604.29,48331,1186536,1256923.2,70387.19999999998,24
COMMISSIONER OF HIGHER EDUCATION,LEWIS AND CLARK,HELENA,17840.84,18051.32,1280829,37108947.2,37546745.6,437798.40000000014,636
COMMISSIONER OF POLITICAL PRACTICES,LEWIS AND CLARK,HELENA,1147.95,1157.25,104744,2387736,2407080,19343.999999999985,52
DEPARTMENT OF ADMINISTRATION,LEWIS AND CLARK,HELENA,114743.85,118253.19,8595642,238667208,245966635.2,7299427.2,4268
DEPARTMENT OF AGRICULTURE,LEWIS AND CLARK,HELENA,16362.86,16677.78,1683506,34034748.8,34689782.4,655033.6000000001,836
DEPARTMENT OF COMMERCE,LEWIS AND CLARK,HELENA,41399.01,42374.43,3206217,86109940.8,88138814.4,2028873.5999999999,1592
DEPARTMENT OF CORRECTIONS,LEWIS AND CLARK,HELENA,23621.41,24318.48,1921435,49132532.8,50582438.4,1449905.6,954
DEPARTMENT OF ENVIRONMENTAL QUALITY,LEWIS AND CLARK,HELENA,81792.1,84385.63,6178698,170127568,175522110.4,5394542.399999999,3068
"DEPARTMENT OF FISH, WILDLIFE, AND PARKS",LEWIS AND CLARK,HELENA,50073.48,51719.41,4392204,104152838.4,107576372.8,3423534.4,2181
DEPARTMENT OF JUSTICE,LEWIS AND CLARK,FORT HARRISON,3560.95,3619.72,380840,7406775.999999999,7529017.6,122241.60000000021,189
DEPARTMENT OF JUSTICE,LEWIS AND CLARK,HELENA,65583.64,67179.47,5512431,136413971.2,139733297.6,3319326.3999999994,2737
DEPARTMENT OF LABOR AND INDUSTRY,LEWIS AND CLARK,EAST HELENA,79.5,81.12,8050,165360,168729.6,3369.5999999999985,4
DEPARTMENT OF LABOR AND INDUSTRY,LEWIS AND CLARK,HELENA,95100.02,98001.12,8144634,197808041.6,203842329.6,6034288.000000001,4044
DEPARTMENT OF LIVESTOCK,LEWIS AND CLARK,HELENA,13194.45,13702.32,1335152,27444456,28500825.6,1056369.5999999999,663
DEPARTMENT OF MILITARY AFFAIRS,LEWIS AND CLARK,FORT HARRISON,8795.04,9036.65,709508,18293683.2,18796232,502548.80000000016,352
DEPARTMENT OF MILITARY AFFAIRS,LEWIS AND CLARK,HELENA,7835.28,8036.89,662044,16297382.4,16716731.2,419348.8000000001,329
DEPARTMENT OF NATURAL RESOURCES AND CONSERVATION,LEWIS AND CLARK,HELENA,50302.94,51830.24,4164927,104630115.2,107806899.2,3176784,2068
DEPARTMENT OF NATURAL RESOURCES AND CONSERVATION,LEWIS AND CLARK,LINCOLN,390.33,400.84,42294,811886.4,833747.2000000001,21860.800000000017,21
DEPARTMENT OF PUBLIC HEALTH AND HUMAN SERVICES,LEWIS AND CLARK,HELENA,168459.6,173189.47,14508946,350395968,360234097.6,9838129.600000001,7204
DEPARTMENT OF PUBLIC HEALTH AND HUMAN SERVICES,LEWIS AND CLARK,LINCOLN,67.34,69.7,8050,140067.19999999998,144976,4908.80000000001,4
DEPARTMENT OF PUBLIC SERVICE REGULATION,LEWIS AND CLARK,HELENA,8119.58,8343.83,559847,16888726.4,17355166.4,466439.99999999994,278
DEPARTMENT OF REVENUE,LEWIS AND CLARK,HELENA,66092.04,67958.72,5931105,137471443.2,141354137.6,3882694.3999999994,2945
DEPARTMENT OF TRANSPORTATION,LEWIS AND CLARK,AUGUSTA,285.66,288.73,26209,594172.8,600558.4,6385.599999999969,13
DEPARTMENT OF TRANSPORTATION,LEWIS AND CLARK,HELENA,153962.5,160241.41,11121103,320242000,333302132.8,13060132.800000003,5522
DEPARTMENT OF TRANSPORTATION,LEWIS AND CLARK,LINCOLN,263.08,264.19,24192,547206.4,549515.2,2308.7999999999884,12
DEPARTMENT OF TRANSPORTATION,LEWIS AND CLARK,WOLF CREEK,670.63,683.99,62495,1394910.4000000001,1422699.2,27788.79999999998,31
JUDICIAL BRANCH,LEWIS AND CLARK,HELENA,36075.63,36505.89,2311936,75037310.4,75932251.2,894940.7999999998,1148
LEGISLATIVE BRANCH,LEWIS AND CLARK,HELENA,143111.87,144138.96,6938100,132047372.6,134183719.8,2136347.1999999997,3445
MONTANA ARTS COUNCIL,LEWIS AND CLARK,HELENA,2163.49,2239.9900000000002,161107,4500059.2,4659179.2,159120.00000000006,80
MONTANA HISTORICAL SOCIETY,LEWIS AND CLARK,HELENA,10274.36,10656.01,1129845,21370668.8,22164500.8,793832,561
MONTANA STATE FUND,LEWIS AND CLARK,HELENA,68255.98,68255.98,4291793,141972438.4,141972438.4,0,2131
MONTANA STATE LIBRARY,LEWIS AND CLARK,HELENA,7851.25,8092.45,676675,16330600,16832296,501696.0000000001,336
OFFICE OF PUBLIC INSTRUCTION,LEWIS AND CLARK,HELENA,60735.81,61666.98,5173760,126330484.8,128267318.4,1936833.6000000003,2569
OFFICE OF STATE PUBLIC DEFENDER,LEWIS AND CLARK,HELENA,5195.26,5229.86,356848,10806140.8,10878108.8,71968,177
OFFICE OF THE GOVERNOR,LEWIS AND CLARK,HELENA,13727.21,13860.95,938570,28552596.8,28830776,278179.19999999995,466
OFFICE OF THE SECRETARY OF STATE,LEWIS AND CLARK,HELENA,9994.51,10236.19,872047,20788580.8,21291275.2,502694.39999999997,433
OFFICE OF THE STATE AUDITOR,LEWIS AND CLARK,HELENA,15958.09,16344.94,1234523,33192827.2,33997475.2,804647.9999999999,613
OFFICE OF THE STATE PUBLIC DEFENDER,LEWIS AND CLARK,HELENA,4310.99,4369.42,372325,8966859.2,9088393.6,121534.4,185
